Security,Symbol,GICS_Sector,GICS_Sub_Industry
Marathon Petroleum,MPC,Energy,Oil & Gas Refining & Marketing
MarketAxess,MKTX,Financials,Financial Exchanges & Data
Marriott International,MAR,Consumer Discretionary,"Hotels, Resorts & Cruise Lines"
Marsh McLennan,MMC,Financials,Insurance Brokers
Martin Marietta Materials,MLM,Materials,Construction Materials
Masco,MAS,Industrials,Building Products
Mastercard,MA,Information Technology,Data Processing & Outsourced Services
Match Group,MTCH,Communication Services,Interactive Media & Services
McCormick & Company,MKC,Consumer Staples,Packaged Foods & Meats
McDonald's,MCD,Consumer Discretionary,Restaurants
McKesson,MCK,Health Care,Health Care Distributors
Medtronic,MDT,Health Care,Health Care Equipment
Merck & Co.,MRK,Health Care,Pharmaceuticals
Meta Platforms,META,Communication Services,Interactive Media & Services
MetLife,MET,Financials,Life & Health Insurance
Mettler Toledo,MTD,Health Care,Life Sciences Tools & Services
MGM Resorts,MGM,Consumer Discretionary,Casinos & Gaming
Microchip Technology,MCHP,Information Technology,Semiconductors
Micron Technology,MU,Information Technology,Semiconductors
Microsoft,MSFT,Information Technology,Systems Software
Mid-America Apartment Communities,MAA,Real Estate,Residential REITs
Moderna,MRNA,Health Care,Biotechnology
Mohawk Industries,MHK,Consumer Discretionary,Home Furnishings
Molina Healthcare,MOH,Health Care,Managed Health Care
Molson Coors Beverage Company,TAP,Consumer Staples,Brewers
Mondelez International,MDLZ,Consumer Staples,Packaged Foods & Meats
Monolithic Power Systems,MPWR,Information Technology,Semiconductors
Monster Beverage,MNST,Consumer Staples,Soft Drinks
Moody's Corporation,MCO,Financials,Financial Exchanges & Data
Morgan Stanley,MS,Financials,Investment Banking & Brokerage
Mosaic Company (The),MOS,Materials,Fertilizers & Agricultural Chemicals
Motorola Solutions,MSI,Information Technology,Communications Equipment
MSCI,MSCI,Financials,Financial Exchanges & Data
"Nasdaq, Inc.",NDAQ,Financials,Financial Exchanges & Data
NetApp,NTAP,Information Technology,"Technology Hardware, Storage & Peripherals"
Netflix,NFLX,Communication Services,Movies & Entertainment
Newell Brands,NWL,Consumer Discretionary,Housewares & Specialties
Newmont,NEM,Materials,Gold
News Corp (Class A),NWSA,Communication Services,Publishing
News Corp (Class B),NWS,Communication Services,Publishing
NextEra Energy,NEE,Utilities,Multi-Utilities
"Nike, Inc.",NKE,Consumer Discretionary,"Apparel, Accessories & Luxury Goods"
NiSource,NI,Utilities,Multi-Utilities
Nordson Corporation,NDSN,Industrials,Industrial Machinery
Norfolk Southern Railway,NSC,Industrials,Railroads
Northern Trust,NTRS,Financials,Asset Management & Custody Banks
Northrop Grumman,NOC,Industrials,Aerospace & Defense
Norwegian Cruise Line Holdings,NCLH,Consumer Discretionary,"Hotels, Resorts & Cruise Lines"
NRG Energy,NRG,Utilities,Independent Power Producers & Energy Traders
Nucor,NUE,Materials,Steel
Nvidia,NVDA,Information Technology,Semiconductors
"NVR, Inc.",NVR,Consumer Discretionary,Homebuilding
NXP Semiconductors,NXPI,Information Technology,Semiconductors
O'Reilly Auto Parts,ORLY,Consumer Discretionary,Specialty Stores
Occidental Petroleum,OXY,Energy,Oil & Gas Exploration & Production
Old Dominion,ODFL,Industrials,Trucking
Omnicom Group,OMC,Communication Services,Advertising
ON Semiconductor,ON,Information Technology,Semiconductors
ONEOK,OKE,Energy,Oil & Gas Storage & Transportation
Oracle Corporation,ORCL,Information Technology,Application Software
Organon & Co.,OGN,Health Care,Pharmaceuticals
Otis Worldwide,OTIS,Industrials,Industrial Machinery
Paccar,PCAR,Industrials,Construction Machinery & Heavy Trucks
Packaging Corporation of America,PKG,Materials,Paper Packaging
Paramount Global,PARA,Communication Services,Movies & Entertainment
Parker Hannifin,PH,Industrials,Industrial Machinery
Paychex,PAYX,Information Technology,Data Processing & Outsourced Services
Paycom,PAYC,Information Technology,Application Software
PayPal,PYPL,Information Technology,Data Processing & Outsourced Services
Pentair,PNR,Industrials,Industrial Machinery
PepsiCo,PEP,Consumer Staples,Soft Drinks
PerkinElmer,PKI,Health Care,Health Care Equipment
Pfizer,PFE,Health Care,Pharmaceuticals
PG&E Corporation,PCG,Utilities,Multi-Utilities
Philip Morris International,PM,Consumer Staples,Tobacco
Phillips 66,PSX,Energy,Oil & Gas Refining & Marketing
Pinnacle West,PNW,Utilities,Multi-Utilities
Pioneer Natural Resources,PXD,Energy,Oil & Gas Exploration & Production
PNC Financial Services,PNC,Financials,Regional Banks
Pool Corporation,POOL,Consumer Discretionary,Distributors
PPG Industries,PPG,Materials,Specialty Chemicals
PPL Corporation,PPL,Utilities,Electric Utilities
Principal Financial Group,PFG,Financials,Life & Health Insurance
Procter & Gamble,PG,Consumer Staples,Personal Products
Progressive Corporation,PGR,Financials,Property & Casualty Insurance
Prologis,PLD,Real Estate,Industrial REITs
Prudential Financial,PRU,Financials,Life & Health Insurance
Public Service Enterprise Group,PEG,Utilities,Electric Utilities
PTC,PTC,Information Technology,Application Software
Public Storage,PSA,Real Estate,Specialized REITs
PulteGroup,PHM,Consumer Discretionary,Homebuilding
Qorvo,QRVO,Information Technology,Semiconductors
Quanta Services,PWR,Industrials,Construction & Engineering
Qualcomm,QCOM,Information Technology,Semiconductors
Quest Diagnostics,DGX,Health Care,Health Care Services
Ralph Lauren Corporation,RL,Consumer Discretionary,"Apparel, Accessories & Luxury Goods"
Raymond James,RJF,Financials,Investment Banking & Brokerage
Raytheon Technologies,RTX,Industrials,Aerospace & Defense
Realty Income,O,Real Estate,Retail REITs
Regency Centers,REG,Real Estate,Retail REITs
Regeneron,REGN,Health Care,Biotechnology
Regions Financial Corporation,RF,Financials,Regional Banks
Republic Services,RSG,Industrials,Environmental & Facilities Services
ResMed,RMD,Health Care,Health Care Equipment
Robert Half,RHI,Industrials,Human Resource & Employment Services
Rockwell Automation,ROK,Industrials,Electrical Components & Equipment
"Rollins, Inc.",ROL,Industrials,Environmental & Facilities Services
Roper Technologies,ROP,Information Technology,Electronic Equipment & Instruments
Ross Stores,ROST,Consumer Discretionary,Apparel Retail
Royal Caribbean Group,RCL,Consumer Discretionary,"Hotels, Resorts & Cruise Lines"
S&P Global,SPGI,Financials,Financial Exchanges & Data
Salesforce,CRM,Information Technology,Application Software
SBA Communications,SBAC,Real Estate,Specialized REITs
Schlumberger,SLB,Energy,Oil & Gas Equipment & Services
Seagate Technology,STX,Information Technology,"Technology Hardware, Storage & Peripherals"
Sealed Air,SEE,Materials,Paper Packaging
Sempra Energy,SRE,Utilities,Multi-Utilities
ServiceNow,NOW,Information Technology,Systems Software
Sherwin-Williams,SHW,Materials,Specialty Chemicals
Simon Property Group,SPG,Real Estate,Retail REITs
Skyworks Solutions,SWKS,Information Technology,Semiconductors
J.M. Smucker Company (The),SJM,Consumer Staples,Packaged Foods & Meats
Snap-on,SNA,Industrials,Industrial Machinery
SolarEdge,SEDG,Information Technology,Semiconductor Equipment
Southern Company,SO,Utilities,Electric Utilities
Southwest Airlines,LUV,Industrials,Airlines
Stanley Black & Decker,SWK,Industrials,Industrial Machinery
Starbucks,SBUX,Consumer Discretionary,Restaurants
State Street Corporation,STT,Financials,Asset Management & Custody Banks
Steel Dynamics,STLD,Materials,Steel
Steris,STE,Health Care,Health Care Equipment
Stryker Corporation,SYK,Health Care,Health Care Equipment
Synchrony Financial,SYF,Financials,Consumer Finance
Synopsys,SNPS,Information Technology,Application Software
Sysco,SYY,Consumer Staples,Food Distributors
T-Mobile US,TMUS,Communication Services,Wireless Telecommunication Services
T. Rowe Price,TROW,Financials,Asset Management & Custody Banks
Take-Two Interactive,TTWO,Communication Services,Interactive Home Entertainment
"Tapestry, Inc.",TPR,Consumer Discretionary,"Apparel, Accessories & Luxury Goods"
Targa Resources,TRGP,Energy,Oil & Gas Storage & Transportation
Target Corporation,TGT,Consumer Discretionary,General Merchandise Stores
TE Connectivity,TEL,Information Technology,Electronic Manufacturing Services
Teledyne Technologies,TDY,Information Technology,Electronic Equipment & Instruments
Teleflex,TFX,Health Care,Health Care Equipment
Teradyne,TER,Information Technology,Semiconductor Equipment
"Tesla, Inc.",TSLA,Consumer Discretionary,Automobile Manufacturers
Texas Instruments,TXN,Information Technology,Semiconductors
Textron,TXT,Industrials,Aerospace & Defense
Thermo Fisher Scientific,TMO,Health Care,Life Sciences Tools & Services
TJX Companies,TJX,Consumer Discretionary,Apparel Retail
Tractor Supply,TSCO,Consumer Discretionary,Specialty Stores
Trane Technologies,TT,Industrials,Building Products
TransDigm Group,TDG,Industrials,Aerospace & Defense
Travelers Companies (The),TRV,Financials,Property & Casualty Insurance
Trimble Inc.,TRMB,Information Technology,Electronic Equipment & Instruments
Truist,TFC,Financials,Regional Banks
Tyler Technologies,TYL,Information Technology,Application Software
Tyson Foods,TSN,Consumer Staples,Packaged Foods & Meats
U.S. Bank,USB,Financials,Diversified Banks
"UDR, Inc.",UDR,Real Estate,Residential REITs
Ulta Beauty,ULTA,Consumer Discretionary,Specialty Stores
Union Pacific Corporation,UNP,Industrials,Railroads
United Airlines Holdings,UAL,Industrials,Airlines
United Parcel Service,UPS,Industrials,Air Freight & Logistics
United Rentals,URI,Industrials,Trading Companies & Distributors
UnitedHealth Group,UNH,Health Care,Managed Health Care
Universal Health Services,UHS,Health Care,Health Care Facilities
Valero Energy,VLO,Energy,Oil & Gas Refining & Marketing
Ventas,VTR,Real Estate,Health Care REITs
Verisign,VRSN,Information Technology,Internet Services & Infrastructure
Verisk,VRSK,Industrials,Research & Consulting Services
Verizon,VZ,Communication Services,Integrated Telecommunication Services
Vertex Pharmaceuticals,VRTX,Health Care,Biotechnology
VF Corporation,VFC,Consumer Discretionary,"Apparel, Accessories & Luxury Goods"
Viatris,VTRS,Health Care,Pharmaceuticals
Vici Properties,VICI,Real Estate,Hotel & Resort REITs
Visa Inc.,V,Information Technology,Data Processing & Outsourced Services
Vulcan Materials Company,VMC,Materials,Construction Materials
Wabtec,WAB,Industrials,Construction Machinery & Heavy Trucks
Walgreens Boots Alliance,WBA,Consumer Staples,Drug Retail
Walmart,WMT,Consumer Staples,Hypermarkets & Super Centers
Warner Bros. Discovery,WBD,Communication Services,Broadcasting
Waste Management,WM,Industrials,Environmental & Facilities Services
Waters Corporation,WAT,Health Care,Health Care Distributors
WEC Energy Group,WEC,Utilities,Electric Utilities
Wells Fargo,WFC,Financials,Diversified Banks
Welltower,WELL,Real Estate,Health Care REITs
West Pharmaceutical Services,WST,Health Care,Health Care Supplies
Western Digital,WDC,Information Technology,"Technology Hardware, Storage & Peripherals"
WestRock,WRK,Materials,Paper Packaging
Weyerhaeuser,WY,Real Estate,Specialized REITs
Whirlpool Corporation,WHR,Consumer Discretionary,Household Appliances
Williams Companies,WMB,Energy,Oil & Gas Storage & Transportation
Willis Towers Watson,WTW,Financials,Insurance Brokers
W. W. Grainger,GWW,Industrials,Industrial Machinery
Wynn Resorts,WYNN,Consumer Discretionary,Casinos & Gaming
Xcel Energy,XEL,Utilities,Multi-Utilities
Xylem Inc.,XYL,Industrials,Industrial Machinery
Yum! Brands,YUM,Consumer Discretionary,Restaurants
Zebra Technologies,ZBRA,Information Technology,Electronic Equipment & Instruments
Zimmer Biomet,ZBH,Health Care,Health Care Equipment
Zions Bancorporation,ZION,Financials,Regional Banks
Zoetis,ZTS,Health Care,Pharmaceuticals
